uid, timestamp, qid
cgs_4de0c3b26edb3, 1306960220, 2
cgs_4de0c3b26edb3, 1306959719, 2
cgs_4de0c3b26edb3, 1306958153, 2
cgs_4de0c3b26edb3, 1306957820, 2
cgs_4de0c3b26edb3, 1306957518, 2
cgs_4de0c3b26edb3, 1306954612, 2
cgs_4de0c3b26edb3, 1306953153, 2
cgs_4de1902758d6f, 1306885114, 2
cgs_4de1902758d6f, 1306885001, 2
cgs_4de1902758d6f, 1306884961, 2
cgs_4de1902758d6f, 1306884872, 2
cgs_4de1902758d6f, 1306884819, 2
cgs_4de1902758d6f, 1306884784, 2
cgs_4de1902758d6f, 1306884728, 2
cgs_4de1902758d6f, 1306884682, 2
cgs_4de1902758d6f, 1306884641, 2
cgs_4de1902758d6f, 1306884605, 2
cgs_4de1902758d6f, 1306884525, 2
cgs_4de1902758d6f, 1306884367, 2
cgs_4de1902758d6f, 1306884325, 2
cgs_4de1902758d6f, 1306884287, 2
cgs_4de1902758d6f, 1306884174, 2
cgs_4de1902758d6f, 1306884129, 2
cgs_4de1902758d6f, 1306884098, 2
cgs_4de1902758d6f, 1306884021, 2
cgs_4de1902758d6f, 1306883992, 2
cgs_4de1902758d6f, 1306883961, 2
cgs_4de1902758d6f, 1306883912, 2
cgs_4de1902758d6f, 1306883879, 2
cgs_4de1902758d6f, 1306883845, 2
cgs_4de1902758d6f, 1306883808, 2
cgs_4de1902758d6f, 1306883776, 2
cgs_4de1902758d6f, 1306883746, 2
cgs_4de1902758d6f, 1306883674, 2
cgs_4de1902758d6f, 1306883622, 2
cgs_4de1902758d6f, 1306882918, 2
cgs_4de1902758d6f, 1306882621, 2
cgs_4de5259531fe7, 1306864806, 2
cgs_4de5259531fe7, 1306864128, 2
cgs_4de5284dc070a, 1306863080, 2
cgs_4de5259531fe7, 1306862246, 2
cgs_4de47f0e2ed82, 1306819862, 2
cgs_4de47f0e2ed82, 1306819859, 2
cgs_4de47f0e2ed82, 1306819794, 2
cgs_4de47f0e2ed82, 1306819657, 2
cgs_4de47f0e2ed82, 1306819595, 2
cgs_4de47f0e2ed82, 1306819537, 2
cgs_4de47f0e2ed82, 1306819495, 2
cgs_4de294c165ca0, 1306786215, 2
cgs_4de294c165ca0, 1306785593, 2
cgs_4de294c165ca0, 1306785496, 2
cgs_4de294c165ca0, 1306785401, 2
cgs_4de294c165ca0, 1306785305, 2
cgs_4de294c165ca0, 1306785208, 2
cgs_4de294c165ca0, 1306784956, 2
cgs_4de294c165ca0, 1306784838, 2
cgs_4de294c165ca0, 1306784734, 2
cgs_4de294c165ca0, 1306784579, 2
cgs_4de294c165ca0, 1306784452, 2
cgs_4de294c165ca0, 1306784302, 2
cgs_4de294c165ca0, 1306784202, 2
cgs_4de294c165ca0, 1306784057, 2
cgs_4de294c165ca0, 1306783955, 2
cgs_4de294c165ca0, 1306783801, 2
cgs_4de1902758d6f, 1306783441, 2
cgs_4de294c165ca0, 1306783171, 2
cgs_4de294c165ca0, 1306782576, 2
cgs_4de294c165ca0, 1306782417, 2
cgs_4de294c165ca0, 1306782257, 2
cgs_4de294c165ca0, 1306782037, 2
cgs_4de294c165ca0, 1306781913, 2
cgs_4de294c165ca0, 1306781716, 2
cgs_4de1902758d6f, 1306780776, 2
cgs_4de294c165ca0, 1306780217, 2
cgs_4de294c165ca0, 1306780070, 2
cgs_4de294c165ca0, 1306779962, 2
cgs_4de294c165ca0, 1306779837, 2
cgs_4de294c165ca0, 1306779728, 2
cgs_4de294c165ca0, 1306779629, 2
cgs_4de294c165ca0, 1306779498, 2
cgs_4de294c165ca0, 1306779301, 2
cgs_4de294c165ca0, 1306779199, 2
cgs_4de294c165ca0, 1306779094, 2
cgs_4de294c165ca0, 1306778959, 2
cgs_4de294c165ca0, 1306778834, 2
cgs_4de294c165ca0, 1306778703, 2
cgs_4de294c165ca0, 1306778572, 2
cgs_4de294c165ca0, 1306778442, 2
cgs_4de294c165ca0, 1306778336, 2
cgs_4de3721395b99, 1306750592, 2
cgs_4de294c165ca0, 1306739448, 2
cgs_4de294c165ca0, 1306739341, 2
cgs_4de294c165ca0, 1306739224, 2
cgs_4de294c165ca0, 1306739123, 2
cgs_4de294c165ca0, 1306739008, 2
cgs_4de294c165ca0, 1306738916, 2
cgs_4de294c165ca0, 1306738456, 2
cgs_4de294c165ca0, 1306738269, 2
cgs_4de294c165ca0, 1306738153, 2
cgs_4de294c165ca0, 1306738053, 2
cgs_4de294c165ca0, 1306737890, 2
cgs_4de294c165ca0, 1306737775, 2
cgs_4de294c165ca0, 1306737591, 2
cgs_4de294c165ca0, 1306737432, 2
cgs_4de294c165ca0, 1306737276, 2
cgs_4de294c165ca0, 1306737047, 2
cgs_4de294c165ca0, 1306736870, 2
cgs_4de294c165ca0, 1306736757, 2
cgs_4de294c165ca0, 1306736530, 2
cgs_4de294c165ca0, 1306736403, 2
cgs_4de294c165ca0, 1306736299, 2
cgs_4de294c165ca0, 1306736072, 2
cgs_4de294c165ca0, 1306735968, 2
cgs_4de294c165ca0, 1306735868, 2
cgs_4de294c165ca0, 1306735745, 2
cgs_4de294c165ca0, 1306735323, 2
cgs_4de294c165ca0, 1306735132, 2
